"last_value","estimated_value","difference","orderbook_diff"
1673.33,1673.22758980058,0.102410199420092,-182.9953
1673.41,1673.68093391336,-0.270933913358022,-195.9838
1675.13,1673.94083127501,1.18916872498539,-205.5015
1675.35,1675.07907177296,0.270928227040713,-159.7865
1674.22,1675.31606073003,-1.09606073002715,-23.5686
1672.42,1673.77128390531,-1.35128390531281,-28.3789
1673.02,1672.77544541251,0.244554587492985,-161.8735
1672.95,1673.6946838182,-0.744683818201338,-173.1829
1672.65,1673.32737017375,-0.67737017374634,-163.9846
1671.43,1673.62410103482,-2.19410103482119,-140.9316
1673.46285714286,1673.52778615353,-0.0649290106728131,-173.5969
1672.95,1673.89457501721,-0.94457501720558,-180.5003
1672.47,1673.04786470426,-0.577864704260037,-205.9554
1674.24,1673.19604862065,1.04395137935035,-176.1693
1675.48,1674.24152680588,1.23847319411607,-173.1159
1674.9,1675.41397583415,-0.513975834147459,-169.6193
1674.96,1674.90183828711,0.0581617128857488,-168.0287
1677.1,1675.42759167946,1.67240832054358,-164.7837
1677.72,1677.58551357302,0.134486426984722,-133.008
1672.33,1672.77145311948,-0.441453119482958,-220.9928
1672.09,1672.65000709388,-0.560007093882632,-196.2546
1673.68,1673.14409009182,0.53590990818293,-161.0741
1673.16,1673.19928364026,-0.0392836402568264,-173.1477
1673.84,1673.23118950082,0.608810499175206,-173.5098
1676.524,1676.28949204522,0.234507954777655,-151.6339
1671.97,1672.69927457003,-0.729274570031748,-169.8341
1671.3,1672.33051546489,-1.03051546488746,-190.6519
1671.21,1671.21167918158,-0.00167918158126668,-163.6469
1671.74,1671.18904226303,0.55095773697235,-164.9775
1673.22,1672.73879640863,0.481203591374879,-176.968
1672.92,1673.40811054692,-0.488110546916232,-155.9953
1673.27,1673.23079860281,0.039201397192528,-159.8039
1673.3625,1673.02011268762,0.342387312380879,-157.4209
1673.81,1673.87948528894,-0.0694852889405411,-169.1386
1674.44,1673.82023542881,0.619764571187034,-163.4225
1675.09,1675.37231251801,-0.282312518006847,-165.9098
1678.8,1677.40220468249,1.39779531750651,-176.682
1678.74,1678.10092727143,0.63907272857341,-204.9699
1677.16,1679.00817047698,-1.84817047697675,-241.7043
1680.08,1679.75104260884,0.328957391160202,-181.516
1680.11,1679.67062181172,0.439378188278397,-229.4292
1678.69,1679.15193168295,-0.461931682947125,-193.4213
1680.12,1679.10125736505,1.01874263494619,-178.8972
1679.63,1679.16375451003,0.466245489972607,-172.9455
1673.3,1672.89012217732,0.409877822683939,-173.2766
1674.4675,1673.80429206299,0.663207937010839,-158.3379
1674.76,1673.88964132483,0.870358675169882,-151.4597
1675.2,1675.69522616328,-0.495226163275447,-163.9193
1674.86,1675.0999951743,-0.23999517430093,-171.6098
1674.04666666667,1674.22368661235,-0.177019945688244,-280.5163
1674.04666666667,1674.34468661235,-0.298019945688338,-172.4837
1674.98,1674.86166666667,0.118333333333339,-169.4889
1674.54,1675.25200000011,-0.71200000011072,-163.6102
1674.54,1675.14900000011,-0.609000000110882,-165.0269
1675.13,1675.66801631136,-0.538016311356387,-185.7601
1675.1,1675.54539615674,-0.44539615674239,-192.6967
1674.04,1675.22845576538,-1.18845576537979,-172.614
1673.46,1674.76751010089,-1.30751010089034,-165.3073
1673.16,1674.59411992117,-1.43411992116785,-166.8
1675.23,1674.80963806829,0.420361931707021,-186.0386
1674.62,1675.40884692087,-0.788846920871038,-161.009
1674.62,1675.23270656443,-0.612706564428208,-58.511
1674.28,1674.12959752651,0.150402473488157,-172.0389
1674.57,1674.11134101551,0.458658984488466,-183.2044
1673.3475,1674.26755555689,-0.920055556892521,-166.891
1673.29333333333,1671.98242379134,1.3109095419918,-200.3351
1674.11,1673.53434198468,0.575658015322688,-165.4337
1674.69,1674.01204021097,0.677959789034503,-145.7428
1675.39,1674.87773473953,0.512265260465256,-164.8499
1674.04,1674.49318190926,-0.453181909260366,-66.2196
1674.89,1674.56636327439,0.323636725605866,-156.6094
1674.665,1674.67673653431,-0.0117365343116944,-170.4324
1674.08,1674.84310133316,-0.763101333157465,-170.6871
1673.85,1673.94819977009,-0.0981997700937427,-189.5384
1674.65,1674.66331046377,-0.013310463765265,-161.4202
1672.46,1673.27021539688,-0.810215396877084,-182.1212
1672.12,1673.45738538595,-1.33738538594889,-82.4971
1673.94,1672.81272190804,1.12727809195962,-184.2398
1673.629,1673.32834967616,0.300650323839818,-178.5256
1672.67,1673.27562371475,-0.605623714747026,-187.0691
1673.1,1673.48499502584,-0.384995025839544,-172.3394
1674.63,1674.17734415106,0.452655848939685,-173.8644
1674.45,1674.59403813614,-0.144038136138306,-163.7981
1674.79,1674.49766336076,0.292336639240148,-185.7233
1675.325,1674.57883368708,0.746166312920423,-165.9222
1676.05,1676.39445840842,-0.344458408424316,-178.2089
1676.04,1675.67618984947,0.363810150525069,-172.9002
1678.01045454545,1674.94896573354,3.06148881191893,-158.7368
1672.31,1673.65370473574,-1.34370473574313,-152.7579
1672.78,1672.51360815358,0.266391846419992,-168.7166
1666.98,1668.06993865497,-1.08993865497496,-182.5949
1669.13,1668.98267442669,0.147325573306489,-162.5223
1668.29,1668.8290006695,-0.53900066950041,-144.0417
1667.58,1668.25237314381,-0.672373143814639,-102.7109
1664.54,1664.28441776235,0.255582237653016,-193.5119
1665.44666666667,1665.00274967583,0.443916990834168,-175.9216
1665.95,1667.10644866972,-1.15644866972002,-181.4303
1665.79,1666.20795771858,-0.417957718578691,-210.6449
1666.92,1667.08925897174,-0.169258971743602,-154.853
1666.38,1666.90354909542,-0.523549095416911,-181.4254
