"last_value","orderbook_diff","estimated_value","difference"
0.4008,-136940,0.400921082336065,-0.000121082336064615
0.4012,-103972,0.400762268703862,0.000437731296138333
0.4008,-123919,0.401051944517365,-0.000251944517364933
0.4007,-139846,0.400652734696114,4.7265303886046e-05
0.4006,-135197,0.400605290041947,-5.29004194677052e-06
0.401,-166815,0.400665174065804,0.000334825934195537
0.4009,-130069,0.400605170020506,0.000294829979493871
0.401,-144644,0.400729131820398,0.000270868179601591
0.4012,-153966,0.400943652258511,0.000256347741488971
0.40305,-127492,0.402943874270061,0.000106125729938844
0.4028,-39979,0.40303662910056,-0.000236629100559715
0.4027,-137002,0.402544510007864,0.000155489992136271
0.4025,-112780,0.403035490376966,-0.000535490376966263
0.4022,-155611,0.40257751560167,-0.00037751560167032
0.4033,-143406,0.402820943034613,0.000479056965386582
0.4032,-123828,0.403311916424517,-0.000111916424516689
0.4021,-174544,0.402710449013749,-0.000610449013748904
0.4019,-76296,0.40197023986597,-7.02398659699344e-05
0.4017,-181032,0.402126101823426,-0.000426101823425673
0.4015,-166305,0.401257052211467,0.00024294778853251
0.4012,-124700,0.401390175083647,-0.000190175083646771
0.4011,-192477,0.401315886006537,-0.000215886006536714
0.4011,-192477,0.401315886006537,-0.000215886006536714
0.4011,-192477,0.401315886006537,-0.000215886006536714
0.4011,-192477,0.401315886006537,-0.000215886006536714
0.4011,-192477,0.401315886006537,-0.000215886006536714
0.4011,-192477,0.401315886006537,-0.000215886006536714
0.4011,-192477,0.401315886006537,-0.000215886006536714
0.4011,-192477,0.401315886006537,-0.000215886006536714
0.4011,-192477,0.401315886006537,-0.000215886006536714
0.4011,-192477,0.401315886006537,-0.000215886006536714
0.4011,-192477,0.401315886006537,-0.000215886006536714
0.4011,-192477,0.401315886006537,-0.000215886006536714
0.4011,-192477,0.401315886006537,-0.000215886006536714
0.4011,-192477,0.401315886006537,-0.000215886006536714
0.4011,-192477,0.401315886006537,-0.000215886006536714
0.4011,-192477,0.401315886006537,-0.000215886006536714
0.4011,-192477,0.401315886006537,-0.000215886006536714
0.4011,-192477,0.401315886006537,-0.000215886006536714
0.4011,-192477,0.401315886006537,-0.000215886006536714
0.4011,-192477,0.401315886006537,-0.000215886006536714
0.4011,-192477,0.401315886006537,-0.000215886006536714
0.4011,-192477,0.401315886006537,-0.000215886006536714
0.4011,-192477,0.401315886006537,-0.000215886006536714
0.4011,-192477,0.401315886006537,-0.000215886006536714
0.4011,-192477,0.401315886006537,-0.000215886006536714
0.4011,-192477,0.401315886006537,-0.000215886006536714
0.4011,-192477,0.401315886006537,-0.000215886006536714
0.4011,-192477,0.401315886006537,-0.000215886006536714
0.4011,-192477,0.401315886006537,-0.000215886006536714
0.4011,-192477,0.401315886006537,-0.000215886006536714
0.4011,-192477,0.401315886006537,-0.000215886006536714
0.4011,-192477,0.401315886006537,-0.000215886006536714
0.4011,-192477,0.401315886006537,-0.000215886006536714
0.4011,-192477,0.401315886006537,-0.000215886006536714
0.4011,-192477,0.401315886006537,-0.000215886006536714
0.4011,-192477,0.401315886006537,-0.000215886006536714
0.4011,-192477,0.401315886006537,-0.000215886006536714
0.4011,-192477,0.401315886006537,-0.000215886006536714
0.4011,-192477,0.401315886006537,-0.000215886006536714
0.4011,-192477,0.401315886006537,-0.000215886006536714
0.4011,-192477,0.401315886006537,-0.000215886006536714
0.4011,-192477,0.401315886006537,-0.000215886006536714
0.4011,-192477,0.280841060274177,0.120258939725823
0.4011,-192477,0.280841060274177,0.120258939725823
0.4011,-192477,0.280841060274177,0.120258939725823
0.4011,-192477,0.280841060274177,0.120258939725823
0.4011,-192477,0.280841060274177,0.120258939725823
0.4011,-192477,0.280841060274177,0.120258939725823
0.4011,-192477,0.280841060274177,0.120258939725823
0.4011,-183899,0.280841060274177,0.120258939725823
0.4011,-183899,0.280841060274177,0.120258939725823
0.4011,-184920,0.280841060274177,0.120258939725823
0.4011,-184920,0.280841060274177,0.120258939725823
0.4011,-184920,0.280841060274177,0.120258939725823
0.4011,-184920,0.280841060274177,0.120258939725823
0.4011,-184920,0.280841060274177,0.120258939725823
0.4011,-184920,0.280841060274177,0.120258939725823
0.4011,-187137,0.280841060274177,0.120258939725823
0.4011,-187137,0.280841060274177,0.120258939725823
0.4011,-187137,0.280841060274177,0.120258939725823
0.4011,-187137,0.280841060274177,0.120258939725823
0.4011,-187137,0.280841060274177,0.120258939725823
0.4011,-190306,0.280841060274177,0.120258939725823
0.4011,-191415,0.280841060274177,0.120258939725823
0.4011,-191415,0.280841060274177,0.120258939725823
0.4011,-191415,0.280841060274177,0.120258939725823
0.4011,-191415,0.280841060274177,0.120258939725823
0.4011,-191415,0.280841060274177,0.120258939725823
0.4011,-191415,0.280841060274177,0.120258939725823
0.4011,-191415,0.280841060274177,0.120258939725823
0.4011,-191415,0.280841060274177,0.120258939725823
0.4011,-191415,0.280841060274177,0.120258939725823
0.4011,-191415,0.280841060274177,0.120258939725823
0.4011,-191415,0.280841060274177,0.120258939725823
0.4011,-191415,0.280841060274177,0.120258939725823
0.4011,-191415,0.280841060274177,0.120258939725823
0.4011,-175750,0.280841060274177,0.120258939725823
0.4011,-167782,0.280841060274177,0.120258939725823
0.4011,-175271,0.280841060274177,0.120258939725823
0.4011,-176157,0.280841060274177,0.120258939725823
0.4011,-176157,0.280841060274177,0.120258939725823
0.4011,-176157,0.280841060274177,0.120258939725823
0.4011,-176157,0.280841060274177,0.120258939725823
0.4011,-176748,0.280841060274177,0.120258939725823
0.4011,-176748,0.280841060274177,0.120258939725823
