"last_value","estimated_value","difference","orderbook_diff"
0.07159,0.0716906701686111,-0.000100670168611067,-136768
0.07165,0.0716616539826297,-1.16539826297002e-05,-181193
0.07165,0.0716570204246977,-7.0204246976624e-06,-225886
0.07175,0.0718319718677736,-8.19718677736031e-05,-152229
0.07174,0.0717324312430419,7.56875695805126e-06,-521215
0.07162,0.071629234267674,-9.23426767400481e-06,-559564
0.071538,0.0716290471010428,-9.10471010427821e-05,-642298
0.07119,0.0714254562312332,-0.000235456231233194,-566465
0.07119,0.0713485715420575,-0.000158571542057451,-509149
0.07122,0.0712392986906932,-1.92986906932258e-05,-625438
0.071405,0.0712490034837887,0.000155996516211274,-565418
0.07148,0.0714295134862172,5.04865137827687e-05,-428492
0.071475,0.0714705571867781,4.44281322194151e-06,-462534
0.0715,0.0714770985497368,2.29014502631797e-05,-511707
0.07159,0.0715571537296767,3.28462703233084e-05,-120073
0.07182,0.0718177535617257,2.24643827434479e-06,-398736
0.071688,0.0717793283162381,-9.13283162381068e-05,-119635
0.071688,0.0717593283162381,-7.13283162381007e-05,-548442
0.07168,0.0716916,-1.16000000000144e-05,-160859
0.07168,0.0716916,-1.16000000000144e-05,-472667
0.071685,0.071677,7.99999999999412e-06,-517911
0.07166,0.071722,-6.19999999999926e-05,-123998
0.07165,0.0716670937349816,-1.7093734981613e-05,-138849
0.07163,0.0716221842632845,7.8157367155024e-06,-541802
0.07163,0.0716141842632845,1.58157367154965e-05,-556865
0.07157,0.071628252818084,-5.82528180840119e-05,-224896
0.07157,0.0715684531058286,1.54689417135312e-06,-563057
0.07155,0.0715681560904706,-1.81560904705808e-05,-237752
0.0716,0.071554522618565,4.54773814350107e-05,-204387
0.0717,0.0716575894004262,4.24105995738416e-05,-509583
0.07177,0.0717343275415898,3.56724584101575e-05,-492477
0.07175,0.0717345378142325,1.54621857675064e-05,-493623
0.07166,0.071669591040003,-9.5910400030319e-06,-183117
0.07164,0.0716569906152383,-1.69906152382715e-05,-239316
0.07161,0.071633595628893,-2.35956288929806e-05,-208752
0.07162,0.0716147839527612,5.21604723881242e-06,-511838
0.07159,0.0716152211221526,-2.52211221525855e-05,-253701
0.07152,0.0715564981554113,-3.6498155411277e-05,-266468
0.07152,0.0715481449857497,-2.81449857496979e-05,-612829
0.0715,0.0715297927139464,-2.97927139464305e-05,-268453
0.071418,0.071501,-8.30000000000136e-05,-402943
0.07143,0.0714304130419125,-4.13041912519785e-07,-407159
0.07135,0.0713567872205392,-6.78722053920611e-06,-460657
0.07139,0.0713565172413794,3.34827586206399e-05,-436668
0.07141,0.071388,2.19999999999942e-05,-359840
0.07141,0.071395,1.49999999999872e-05,-299420
0.07142,0.0713909999999997,2.90000000002927e-05,-288185
0.07141,0.0714169999870466,-6.99998704656313e-06,-271973
0.07141,0.0714149999870466,-4.99998704656113e-06,-268704
0.07105,0.071380289357563,-0.000330289357562949,-330859
0.0713,0.0712685158310965,3.14841689035283e-05,-256278
0.07117,0.0712398413095693,-6.98413095693018e-05,-279505
0.07111,0.0711745072517724,-6.4507251772386e-05,-326669
0.07121,0.0713009666727039,-9.09666727039182e-05,-269790
0.07122,0.0712130516166332,6.94838336680326e-06,-278524
0.07117,0.0712134480014193,-4.34480014193522e-05,-280168
0.07115,0.071166300445634,-1.63004456339988e-05,-195483
0.07115,0.0711678270082528,-1.78270082527715e-05,-278916
0.07106,0.0710546117945145,5.38820548554031e-06,-346918
0.07107,0.0711031795457962,-3.31795457962358e-05,-352095
0.07107,0.0711034293635239,-3.3429363523893e-05,-298610
0.07102,0.0710413395960854,-2.13395960853568e-05,-354975
0.07105,0.0710490312076271,9.68792372949001e-07,-232183
0.071005,0.0710344684692265,-2.9468469226468e-05,-293934
0.07123,0.0710084769190244,0.000221523080975602,-284528
0.07123,0.0710286616059978,0.00020133839400216,-198521
0.07123,0.0710475355647435,0.000182464435256505,-262916
0.0712,0.0712250613956335,-2.50613956335188e-05,-222184
0.07125,0.0712097395576024,4.02604423976188e-05,-176592
0.07122,0.0712377738967435,-1.77738967435115e-05,-239573
0.071275,0.0712370208474067,3.79791525933204e-05,-171415
0.07127,0.0712638015022165,6.19849778352166e-06,-261647
0.07127,0.0712984967381375,-2.84967381374845e-05,-191141
0.07127,0.0713242131528148,-5.42131528148276e-05,-165548
