"last_value","orderbook_diff","estimated_value","difference"
0.34555,-54564.2,0.345785667645581,-0.000235667645580695
0.3455,-17433.8,0.345750015254572,-0.000250015254571634
0.3451,-50504.5,0.345237458440274,-0.000137458440273686
0.3452,-35736.1,0.345387522843484,-0.000187522843483501
0.3452,6618.70000000001,0.345403460769239,-0.000203460769239217
0.3452,-38171.1,0.34523599000206,-3.59900020603376e-05
0.345,-24822.8,0.345193189150356,-0.000193189150355988
0.3451,-61428.4,0.345026167979474,7.38320205262988e-05
0.3453,-28600.9,0.345193501222068,0.000106498777932007
0.3454,-37463.4,0.345277959025003,0.000122040974996684
0.3452,-11009.3,0.345332684589096,-0.00013268458909621
0.3447,-49939.6,0.34484344123685,-0.000143441236849784
0.3442,-67973.3,0.344758614453486,-0.00055861445348615
0.3442,-21999.2,0.344452901460271,-0.000252901460271293
0.3449,4886.20000000001,0.344967986413369,-6.7986413368859e-05
0.345,17201,0.344994956181007,5.04381899335549e-06
0.345,50627.1,0.344983692110378,1.63078896219249e-05
0.3446,-2976.20000000001,0.344943821152633,-0.000343821152633428
0.3447,-55505,0.344667501929401,3.24980705992406e-05
0.3445,-6950.39999999997,0.344720935845753,-0.000220935845753112
0.3449,14530.5,0.344781436892281,0.000118563107718905
0.345,19221.5,0.344849984904032,0.000150015095967793
0.3446,-19630.9,0.344932299420708,-0.000332299420708226
0.3446,-67043.7,0.344918298719911,-0.00031829871991107
0.3446,-75738.3,0.344913252221204,-0.000313252221203597
0.344,-102833.9,0.344299231767325,-0.000299231767324937
0.3435,-105465.5,0.343761357507702,-0.000261357507702342
0.3434,-83112.9,0.343652238536639,-0.000252238536639415
0.3433,-114911.2,0.343626574761892,-0.000326574761892184
0.3435,-97414.6,0.343488145138631,1.18548613686764e-05
0.3421,-75174.2,0.342658731956752,-0.000558731956752268
0.3423,-62828.2,0.342005632183329,0.000294367816671026
0.3424,-57761.9,0.342271666666667,0.000128333333333175
0.3427,-75296.6,0.342584429112045,0.000115570887955219
0.3429,-85127.3,0.343064438559704,-0.000164438559704272
0.342966666666667,-72247.5,0.342886722472012,7.99441946550683e-05
0.3432,-82333.5,0.342956666666667,0.000243333333333373
0.3432,-79874.9,0.34319000021249,9.99978750992891e-06
0.3434,-79422.5,0.343369652355292,3.03476447084394e-05
0.34355,-99795.9,0.343419607597519,0.000130392402480695
0.3437,-99222.1,0.343754565893539,-5.45658935394155e-05
0.3437,-98896.6,0.343748661301262,-4.86613012617432e-05
0.3438,-102521.6,0.343720647612681,7.93523873186541e-05
