"last_value","estimated_value","difference","orderbook_diff"
25518.43,25523.026884473,-4.59688447299777,-23.93925
25523.1566666667,25523.7826474679,-0.625980801189144,-22.81367
25513.22,25523.6810557205,-10.4610557204796,-26.21911
25495.5630769231,25506.1605122624,-10.5974353393394,-30.73813
25504.29,25504.5224426812,-0.23244268120834,-24.50585
25505.905,25505.4772498043,0.427750195703993,-28.46054
25504.1533333333,25511.4704983351,-7.31716500180119,-25.72062
25513.725,25509.43287947,4.29212053004449,-19.58162
25510.2066666667,25506.6507990352,3.55586763142492,-30.58216
25526.13,25512.4766717498,13.6533282501769,-22.03399
25546.36,25531.4326026163,14.9273973837298,-19.03961
25523.5,25519.8039671883,3.6960328116802,-20.69538
25519.885,25520.937991573,-1.05299157301488,-24.75021
25525.025,25523.5584826377,1.46651736228159,-21.32215
25485.77,25485.5428292178,0.227170782200119,-25.70457
25510.59,25502.0420787375,8.54792126247412,-20.71663
25494.18,25514.7255847519,-20.5455847519042,-20.84271
25505.66,25504.0372793751,1.62272062492411,-11.33817
25476.92,25500.4220498551,-23.5020498551094,-23.37807
25498.34,25491.8215270153,6.51847298472785,-19.16559
25510.01,25511.1942586287,-1.1842586287421,-15.9271
25495.47,25501.1686359251,-5.69863592508773,-16.71337
25499.56,25495.1371758568,4.42282414315196,-14.59531
25524.6438095238,25508.8707804834,15.773029040447,-13.10382
25519.37,25520.1219808988,-0.751980898836337,-12.92941
25520.15,25523.6551359869,-3.50513598690304,-16.17164
25559.16,25540.4007329257,18.7592670742524,-6.52546
25541.81,25547.1141517506,-5.30415175064263,-20.05695
25548.035,25543.3506387095,4.68436129053225,-15.78003
25561.28,25547.7325616224,13.5474383775654,-14.99648
25568.63,25569.671975758,-1.04197575797298,-19.12297
25568.75,25581.8775879807,-13.1275879807145,-19.74339
25565.65,25575.260646468,-9.61064646798695,-15.62329
25570.8225,25563.3137141916,7.50878580844437,-15.77986
25546.7055555556,25560.0879141853,-13.3823586297913,-15.93805
25554.98,25546.928881346,8.05111865401705,-16.58348
25540.9833333333,25529.9937417329,10.9895916003916,-15.86943
